Agência Nacional de Águas - ANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superintendência de Gestão da Rede Hidrometeorológica-SGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sistema de Informações Hidrológicas - Versão WEB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fone: (61) 2109-5242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E-mail: hidro@ana.gov.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NivelConsistencia: 1 = Bruto, 2 = Consistido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Restrições da consulta:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código da Estação:61078000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;Q_usina;Data_Grafic
61078000;2;01/12/2023;;1;1;148,2718;16,3127;42,3385;31;1;1;1;1;;;16,3127;17,6038;17,9315;22,0148;19,939;24,8848;37,0313;87,7812;60,279;44,7726;44,3301;44,7726;37,4487;38,288;34,153;25,6201;24,8848;40,842;28,2478;34,5595;52,9787;44,3301;35,7884;31,3517;29,3994;27,4885;35,3772;53,4477;80,9064;71,4574;148,2718;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;43,02062028;01/12/2023
61078000;2;01/11/2023;;1;1;31,7471;10,6412;18,3659;22;19;1;1;1;;;24,1566;25,6201;23,0776;22,7215;19,5996;17,6038;16,3127;15,0541;14,1321;13,8291;13,2294;12,6385;12,3463;12,3463;11,7688;11,4834;11,4834;10,9196;10,6412;19,5996;26,3623;31,7471;29,3994;23,0776;23,0776;21,6642;20,2803;17,6038;19,2621;19,939;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;18,66179506;01/11/2023
61078000;2;01/10/2023;;1;1;24,1566;12,6385;16,6555;31;1;1;1;1;;;12,6385;14,7447;19,5996;17,278;15,3657;14,4374;14,1321;16,3127;16,9542;20,2803;20,6234;16,6324;16,6324;16,6324;15,6793;16,3127;19,939;18,2612;16,3127;16,6324;15,3657;14,7447;14,1321;13,5281;12,9328;13,5281;21,6642;16,6324;16,6324;17,6038;24,1566;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16,92383861;01/10/2023
61078000;2;01/09/2023;;1;1;16,3127;10,9196;13,2598;1;27;1;1;1;;;16,3127;15,6793;15,6793;15,6793;15,995;15,6793;15,0541;14,4374;14,1321;13,8291;13,5281;13,2294;13,2294;12,9328;12,9328;12,6385;12,9328;12,6385;12,3463;12,3463;12,0564;11,7688;11,7688;11,4834;11,4834;11,2004;10,9196;11,7688;12,0564;12,0564;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;13,47343011;01/09/2023
61078000;2;01/08/2023;;1;1;20,9685;13,5281;15,2035;29;19;1;1;1;;;15,6793;15,6793;15,3657;15,3657;15,0541;15,0541;14,7447;14,7447;14,7447;14,7447;14,4374;14,4374;14,4374;14,1321;14,1321;14,1321;13,8291;13,8291;13,5281;13,5281;14,7447;15,3657;15,0541;14,7447;14,4374;13,8291;14,7447;18,2612;20,9685;20,2803;17,278;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15,44844528;01/08/2023
61078000;2;01/07/2023;;1;1;18,9266;15,995;17,5275;1;28;1;1;1;;;18,9266;18,9266;18,9266;18,5929;18,5929;18,2612;18,2612;17,9315;17,9315;17,6038;17,278;17,278;17,278;17,9315;18,9266;18,2612;17,9315;17,6038;17,6038;17,6038;17,278;17,278;16,9542;16,9542;16,6324;16,3127;16,3127;15,995;15,995;15,995;15,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;17,8098875;01/07/2023
61078000;2;01/06/2023;;1;1;24,1566;19,2621;21,2607;1;28;1;1;1;;;24,1566;24,1566;24,1566;23,4354;22,7215;22,0148;22,0148;21,6642;21,6642;21,3154;21,3154;21,3154;20,9685;20,6234;20,6234;21,3154;22,0148;22,0148;21,3154;20,9685;20,6234;20,2803;20,2803;19,939;19,939;19,5996;19,5996;19,2621;19,2621;19,2621;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;21,6032335;01/06/2023
61078000;2;01/05/2023;;1;1;41,7053;23,7951;26,8028;2;28;1;1;1;;;30,5659;41,7053;31,3517;30,958;30,1754;29,3994;28,2478;27,8673;27,4885;27,1114;26,736;26,736;26,3623;26,3623;26,3623;25,9903;25,6201;25,2516;25,2516;24,8848;24,8848;24,8848;24,5198;24,5198;24,1566;24,1566;24,1566;23,7951;23,7951;23,7951;23,7951;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;27,23462289;01/05/2023
61078000;2;01/04/2023;;1;1;44,7726;30,5659;35,4544;1;25;1;1;1;;;44,7726;43,0111;39,5583;36,2012;34,9676;34,153;34,153;37,8676;38,7099;38,7099;36,2012;34,5595;33,748;35,3772;37,4487;35,7884;34,9676;33,748;36,6155;35,7884;35,7884;37,4487;34,9676;32,5427;30,5659;31,3517;30,958;30,958;31,7471;30,958;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;36,02560978;01/04/2023
61078000;2;01/03/2023;;1;1;89,5255;37,4487;52,3621;13;29;1;1;1;;;47,0067;46,557;47,0067;44,3301;49,276;61,3191;74,7526;70,3688;56,768;52,9787;52,0448;63,9424;89,5255;74,7526;67,669;61,3191;53,4477;47,0067;43,4493;43,4493;43,889;47,9102;50,1934;46,1088;43,889;42,5744;42,1391;40,4126;37,4487;39,9847;41,7053;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;53,20571161;01/03/2023
61078000;2;01/02/2023;;1;1;98,3975;44,3301;63,3815;13;27;1;1;1;;;72,5509;67,669;77,5319;74,2004;65,5319;58,7286;51,5799;65,5319;59,2441;69,8263;60,7984;77,5319;98,3975;59,2441;74,2004;62,3645;66,5979;69,2851;61,3191;55,337;53,918;53,4477;68,2065;60,7984;52,0448;47,0067;44,3301;47,4577;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;64,40264639;01/02/2023
61078000;2;01/01/2023;;1;1;161,9923;64,471;102,2173;1;29;1;1;1;;;161,9923;107,5128;74,2004;74,7526;67,1328;116,8627;146,9196;132,2912;114,3469;130,984;150,987;127,733;132,2912;125,1496;100,8048;121,304;102,0149;76,4166;66,5979;86,6239;114,9743;129,6807;108,746;73,6493;81,473;74,7526;69,2851;65,5319;64,471;87,7812;81,473;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;103,8641343;01/01/2023
61078000;2;01/12/2022;;1;1;148,2718;16,3127;42,3385;31;1;1;1;1;;;16,3127;17,6038;17,9315;22,0148;19,939;24,8848;37,0313;87,7812;60,279;44,7726;44,3301;44,7726;37,4487;38,288;34,153;25,6201;24,8848;40,842;28,2478;34,5595;52,9787;44,3301;35,7884;31,3517;29,3994;27,4885;35,3772;53,4477;80,9064;71,4574;148,2718;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;43,02062028;01/12/2022
61078000;2;01/11/2022;;1;1;47,9102;11,7688;18,8859;15;7;1;1;1;;;16,3127;15,0541;13,8291;13,5281;12,9328;12,3463;11,7688;19,2621;19,5996;17,6038;16,6324;15,995;16,6324;21,3154;47,9102;37,4487;25,9903;19,939;17,278;17,278;16,6324;14,7447;13,5281;18,5929;21,3154;21,6642;19,5996;17,9315;17,278;16,6324;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;19,19017283;01/11/2022
61078000;2;01/10/2022;;1;1;31,3517;11,2004;17,2904;8;28;1;1;1;;;23,7951;20,6234;17,9315;21,3154;22,3672;20,2803;20,9685;31,3517;27,8673;27,1114;23,4354;20,2803;17,6038;15,995;14,4374;13,5281;13,2294;12,3463;12,0564;12,3463;14,4374;13,5281;13,5281;13,2294;12,3463;12,3463;11,7688;11,2004;11,4834;16,6324;16,6324;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;17,56896756;01/10/2022
61078000;2;01/09/2022;;1;1;24,1566;9,0211;11,9726;27;15;1;1;1;;;10,0915;10,0915;9,8202;9,8202;9,8202;9,8202;9,8202;9,5514;9,5514;9,5514;9,5514;9,285;9,285;9,285;9,0211;9,5514;10,0915;10,0915;10,0915;10,0915;9,8202;10,6412;13,5281;13,8291;15,3657;13,2294;24,1566;22,7215;21,6642;19,939;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;12,16549189;01/09/2022
61078000;2;01/08/2022;;1;1;13,8291;10,0915;11,2497;12;30;1;1;1;;;11,2004;11,2004;11,2004;11,2004;11,2004;10,9196;10,9196;10,9196;10,6412;11,7688;13,5281;13,8291;13,5281;12,6385;12,0564;11,7688;11,7688;11,4834;11,2004;10,9196;10,6412;10,6412;10,6412;10,6412;10,6412;10,3652;10,3652;10,3652;10,3652;10,0915;10,0915;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11,43094517;01/08/2022
61078000;2;01/07/2022;;1;1;13,8291;11,4834;12,522;1;27;1;1;1;;;13,8291;13,5281;13,5281;13,5281;13,5281;13,2294;13,2294;12,9328;12,9328;12,9328;12,9328;12,9328;12,6385;12,6385;12,6385;12,3463;12,3463;12,3463;12,3463;12,3463;12,3463;12,0564;12,0564;12,0564;11,7688;11,7688;11,4834;11,4834;11,4834;11,4834;11,4834;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12,72374333;01/07/2022
